repo_full_name,html_url,stargazers_count,language,description
goatcorp/Dalamud,https://github.com/goatcorp/Dalamud,1621,C,FFXIV plugin framework and API
buttplugio/awesome-buttplug,https://github.com/buttplugio/awesome-buttplug,950,TypeScript,A list of awesome projects that use the Buttplug Sex Toy Control Library
superiorlu/AITreasureBox,https://github.com/superiorlu/AITreasureBox,856,Ruby,🤖 Automatically collected AI repos, tools, websites, papers & tutorials
karashiiro/xiv-resources,https://github.com/karashiiro/xiv-resources,380,HTML,A list of websites and tools for FFXIV.
gamous/DalamudPluginsCN-Dev,https://github.com/gamous/DalamudPluginsCN-Dev,367,,DalamudPlugins for Chinese Plugin Developers
NightlyRevenger/TataruHelper,https://github.com/NightlyRevenger/TataruHelper,332,C#,Tataru Helper - application for translation of in-game texts in FFXIV
aers/FFXIVClientStructs,https://github.com/aers/FFXIVClientStructs,325,C#,Resources for reverse-engineering the FFXIV client's native classes
awgil/ffxiv_bossmod,https://github.com/awgil/ffxiv_bossmod,307,C#,BossMod FFXIV dalamud plugin
marzent/IINACT,https://github.com/marzent/IINACT,273,C#,A plugin to run the FFXIV_ACT_Plugin in an ACT-like environment
LeonBlade/BDTHPlugin,https://github.com/LeonBlade/BDTHPlugin,228,C#,A plugin for manipulating housing items
ktisis-tools/Ktisis,https://github.com/ktisis-tools/Ktisis,211,C#,Robust posing tool for GPose
ffxivcode/AutoDuty,https://github.com/ffxivcode/AutoDuty,201,C#,Dalamud Plugin for AutoDuty
jayotterbein/FFXIV-Zoom-Hack,https://github.com/jayotterbein/FFXIV-Zoom-Hack,194,C#,Zoom modification for FFXIV
FFXIV-CombatReborn/RotationSolverReborn,https://github.com/FFXIV-CombatReborn/RotationSolverReborn,154,C#,Analyses combat info and finds best action
KazWolfe/XIVDeck,https://github.com/KazWolfe/XIVDeck,146,C#,Stream Deck integration for FFXIV
jawslouis/MakePlacePlugin,https://github.com/jawslouis/MakePlacePlugin,128,C#,MakePlace plugin
lokinmodar/Echoglossian,https://github.com/lokinmodar/Echoglossian,120,C#,FFXIV Dialogue text translator
NightmareXIV/AntiAfkKick,https://github.com/NightmareXIV/AntiAfkKick,117,C#,Prevent auto-kick from inactivity
Etheirys/Brio,https://github.com/Etheirys/Brio,102,C#,GPose / posing and BrioAPI plugin
Ottermandias/SeaOfStars,https://github.com/Ottermandias/SeaOfStars,91,JavaScript,FFXIV Modding, Customization and Posing suite
